Letterboxd list export v7
Date,Name,Tags,URL,Description
2020-03-18,Coronavirus Quarantine Time,"coronavirus, covid-19, quarantine, chile, watchlist",https://boxd.it/513FY,"Coronavirus has arrived to Chile! In result, more time is available to watch my 200+ movies on my watchlist. Good times...
(This list contemplates all the movies watched from March 16th, 2020 to April, 2021)"

Position,Name,Year,URL,Description
1,Last Christmas,2019,https://boxd.it/k38G,
2,Austin Powers in Goldmember,2002,https://boxd.it/29xG,
3,Beverly Hills Cop,1984,https://boxd.it/2baE,
4,Bloodshot,2020,https://boxd.it/bfG8,
5,Trolls World Tour,2020,https://boxd.it/fUCu,
6,Mr. Nobody,2009,https://boxd.it/1k44,
7,Beverly Hills Cop II,1987,https://boxd.it/2b9G,
8,Papelucho y el marciano,2007,https://boxd.it/19ia,
9,Scoob!,2020,https://boxd.it/dqh8,
10,A Nightmare on Elm Street,1984,https://boxd.it/2aw0,
11,Beverly Hills Cop III,1994,https://boxd.it/2aDg,
12,Speed,1994,https://boxd.it/28qk,
13,Shrek,2001,https://boxd.it/29zi,
14,Shrek 2,2004,https://boxd.it/29z8,
15,The Emperor's New Groove,2000,https://boxd.it/1Tey,
16,The SpongeBob SquarePants Movie,2004,https://boxd.it/1SYq,
17,Who's That Girl,1987,https://boxd.it/1t5A,
18,Who Framed Roger Rabbit,1988,https://boxd.it/29ry,
19,Toy Story,1995,https://boxd.it/29qA,
20,A Bug's Life,1998,https://boxd.it/1Yyy,
21,Toy Story 2,1999,https://boxd.it/29qq,
22,"Monsters, Inc.",2001,https://boxd.it/2a46,
23,Finding Nemo,2003,https://boxd.it/72i,
24,The Incredibles,2004,https://boxd.it/1XLm,
25,Cars,2006,https://boxd.it/29ho,
26,Ratatouille,2007,https://boxd.it/27ww,
27,WALL·E,2008,https://boxd.it/1VEo,
28,Up,2009,https://boxd.it/1OEc,
29,Toy Story 3,2010,https://boxd.it/1WRe,
30,Cars 2,2011,https://boxd.it/H4Y,
31,Teen Titans Go! To the Movies,2018,https://boxd.it/h13o,
32,Brave,2012,https://boxd.it/bVG,
33,Citizen Kramer,2013,https://boxd.it/7QnO,
34,The Dictator,2012,https://boxd.it/2DEW,
35,mother!,2017,https://boxd.it/dgRU,
36,Borat Subsequent Moviefilm,2020,https://boxd.it/rNS0,
37,Halloween 5: The Revenge of Michael Myers,1989,https://boxd.it/1U2e,
38,They Live,1988,https://boxd.it/20lm,
39,The New Mutants,2020,https://boxd.it/bjle,
40,Scream,1996,https://boxd.it/24EC,
41,Wonder Woman 1984,2020,https://boxd.it/gBtA,
42,The Croods: A New Age,2020,https://boxd.it/jeHK,
43,Captain America: The First Avenger,2011,https://boxd.it/28b0,
44,Captain Marvel,2019,https://boxd.it/9vSA,
45,Camp Rock,2008,https://boxd.it/1PHw,
46,Ma,2019,https://boxd.it/i8Wi,
47,Camp Rock 2: The Final Jam,2010,https://boxd.it/Sru,
48,Untraceable,2008,https://boxd.it/20yA,
