Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-04-11,First Time Watching (2023 Edition),,https://boxd.it/meaDO,"If you wanna check out my ranking for the movies <b>released</b> in 2023, I have this <a href=https://letterboxd.com/mr_sylver/list/movies-in-2023/>other list</a>."

Position,Name,Year,URL,Description
1,Inception,2010,https://boxd.it/1skk,
2,Guillermo del Toro's Pinocchio,2022,https://boxd.it/kjMW,
3,Kill Bill: Vol. 1,2003,https://boxd.it/70w,
4,Donnie Darko,2001,https://boxd.it/2b2A,
5,Nightcrawler,2014,https://boxd.it/780m,
6,1917,2019,https://boxd.it/jj4y,
7,Interstellar,2014,https://boxd.it/4VZ8,
8,Akira,1988,https://boxd.it/2b1i,
9,Se7en,1995,https://boxd.it/29zs,
10,American Psycho,2000,https://boxd.it/28Vs,
11,V for Vendetta,2005,https://boxd.it/29Ik,
12,The Iron Giant,1999,https://boxd.it/1Wow,
13,My Neighbor Totoro,1988,https://boxd.it/20eA,
14,Zoolander,2001,https://boxd.it/1YMA,
15,Justice League: The Flashpoint Paradox,2013,https://boxd.it/5yWW,
16,Happy Gilmore,1996,https://boxd.it/1Yey,
17,The Book of Life,2014,https://boxd.it/6JKY,
18,9,2009,https://boxd.it/1Scm,
19,Made in Britain,1982,https://boxd.it/1ie2,
20,Tenacious D in The Pick of Destiny,2006,https://boxd.it/27go,
21,The Transformers: The Movie,1986,https://boxd.it/280m,
22,The Passion of the Christ,2004,https://boxd.it/29ZK,
23,Puss in Boots,2011,https://boxd.it/eL34,
24,Scooby-Doo,2002,https://boxd.it/1YaQ,
25,Happy Feet,2006,https://boxd.it/1XH0,
26,Hardcore Henry,2015,https://boxd.it/aAIM,
27,Rush Hour,1998,https://boxd.it/27pU,
28,Game Night,2018,https://boxd.it/fRtu,
29,The Boss Baby: Family Business,2021,https://boxd.it/goWY,
30,Turbo,2013,https://boxd.it/2Hzw,
31,The Room,2003,https://boxd.it/1ICY,
32,Zoolander 2,2016,https://boxd.it/aNBE,
33,2012,2009,https://boxd.it/1OE2,
34,Tom and Jerry: The Movie,1992,https://boxd.it/1Amo,
35,Zoom,2006,https://boxd.it/1OKa,
36,Transformers: The Last Knight,2017,https://boxd.it/b8xo,
37,"Bolívar, The Hero",2003,https://boxd.it/dh5W,
38,American Huaso,2018,https://boxd.it/iQCG,
39,Finding Jesus,2020,https://boxd.it/rKTa,
