Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-07-04,funny based redpilled movie marathon - febrero,,https://boxd.it/nEVa6,

Position,Name,Year,URL,Description
1,What's Up: Balloon to the Rescue!,2009,https://boxd.it/60Hq,
2,Foodfight!,2012,https://boxd.it/3Ti0,
3,Titanic: The Legend Goes On...,2000,https://boxd.it/2ruU,
4,Norm of the North,2016,https://boxd.it/8qZE,
5,Bobbleheads: The Movie,2020,https://boxd.it/sjQK,
6,Little Bee,2007,https://boxd.it/6qVS,
7,The Little Panda Fighter,2008,https://boxd.it/7Elm,
8,Leo the Lion,2005,https://boxd.it/3GPU,
9,Woody Woodpecker,2017,https://boxd.it/gyMa,
10,Pinocchio: A True Story,2021,https://boxd.it/m2nE,
11,Elf Bowling the Movie,2007,https://boxd.it/XNK,
12,Plan Bee,2007,https://boxd.it/31fc,
13,Rapsittie Street Kids: Believe in Santa,2002,https://boxd.it/eAJe,
14,The Amazing Bulk,2012,https://boxd.it/3G3c,
15,The Greatest Miracle,2011,https://boxd.it/3nae,
16,The Adventures of Panda Warrior,2012,https://boxd.it/elC8,
17,Gaturro: The Movie,2010,https://boxd.it/byW,
18,The Christmas Light,1995,https://boxd.it/hQcG,
19,Joshua and the Promised Land,2004,https://boxd.it/eydA,
20,Playmobil: The Movie,2019,https://boxd.it/cHq0,
21,Freddy Frogface,2011,https://boxd.it/2LG2,
22,Alpha and Omega,2010,https://boxd.it/1R9w,
23,Tom and Jerry: Willy Wonka and the Chocolate Factory,2017,https://boxd.it/gfUu,
24,Yogi Bear,2010,https://boxd.it/Zcc,
25,Mars Needs Moms,2011,https://boxd.it/DVu,
26,Alvin and the Chipmunks: The Road Chip,2015,https://boxd.it/7DWQ,
27,Garfield's Pet Force,2009,https://boxd.it/1F16,
28,Space Jam: A New Legacy,2021,https://boxd.it/dd9A,
29,Diary of a Wimpy Kid,2021,https://boxd.it/t7dy,
30,Tom & Jerry,2021,https://boxd.it/lCXG,
31,Hop,2011,https://boxd.it/DQa,
32,G-Force,2009,https://boxd.it/1ETc,
