Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-07-09,funny based redpilled movie marathon - navidad,,https://boxd.it/nKgTG,

Position,Name,Year,URL,Description
1,A Christmas Carol,2009,https://boxd.it/1HKW,
2,The Christmas Light,1995,https://boxd.it/hQcG,
3,Die Hard,1988,https://boxd.it/2a7u,
4,The Dog Who Saved Christmas Vacation,2010,https://boxd.it/zpE,
5,The Dog Who Saved the Holidays,2012,https://boxd.it/4GvC,
6,Elf,2003,https://boxd.it/1VyK,
7,Elf Bowling the Movie,2007,https://boxd.it/XNK,
8,The Gingerdead Man,2005,https://boxd.it/1s7g,
9,The Grinch,2018,https://boxd.it/chpK,
10,Grumpy Cat's Worst Christmas Ever,2014,https://boxd.it/9y10,
11,How the Grinch Stole Christmas,2000,https://boxd.it/1ZHQ,
12,Krampus,2015,https://boxd.it/8Wy6,
13,Lemony Snicket's A Series of Unfortunate Events,2004,https://boxd.it/1T7s,
14,The Nightmare Before Christmas,1993,https://boxd.it/1YzQ,
15,The Nutcracker and the Four Realms,2018,https://boxd.it/f6rw,
16,Office Christmas Party,2016,https://boxd.it/dpj8,
17,Home Alone,1990,https://boxd.it/29Fg,
18,Rapsittie Street Kids: Believe in Santa,2002,https://boxd.it/eAJe,
19,Rise of the Guardians,2012,https://boxd.it/2PXw,
20,Rudolph the Red-Nosed Reindeer,1964,https://boxd.it/1Qis,
21,Santa Buddies,2009,https://boxd.it/1wTo,
22,The Santa Clause,1994,https://boxd.it/1TWK,
23,Tom and Jerry: A Nutcracker Tale,2007,https://boxd.it/1xau,
24,The Star Wars Holiday Special,1978,https://boxd.it/2yMw,
25,Last Christmas,2019,https://boxd.it/k38G,
26,Arthur Christmas,2011,https://boxd.it/Cg6,
27,Black Christmas,2019,https://boxd.it/ka4G,
28,A Christmas Story,1983,https://boxd.it/29sw,
29,Gremlins,1984,https://boxd.it/29gg,
30,Klaus,2019,https://boxd.it/ipoi,
31,The Muppet Christmas Carol,1992,https://boxd.it/1WgC,
32,8-Bit Christmas,2021,https://boxd.it/uckc,
33,The Night Before,2015,https://boxd.it/9n9W,
34,The Christmas Chronicles,2018,https://boxd.it/ja7e,
35,Miracle on 34th Street,1994,https://boxd.it/1W5k,
36,Noelle,2019,https://boxd.it/gdzE,
37,Alvin & the Chipmunks - A Chipmunk Christmas,2005,https://boxd.it/9NRq,
38,Saving Christmas,2014,https://boxd.it/9mMS,
39,The Search for Santa Paws,2010,https://boxd.it/Hui,
40,Casper's Haunted Christmas,2000,https://boxd.it/22vy,
41,The App That Stole Christmas,2020,https://boxd.it/sNwA,
42,Thomas & Friends: Ultimate Christmas,2007,https://boxd.it/afhq,
43,Thomas & Friends: Christmas on Sodor,2017,https://boxd.it/hlfu,
44,Thomas & Friends: The Christmas Engines,2014,https://boxd.it/9r34,
45,Dr. Seuss' The Grinch Musical,2020,https://boxd.it/sFhM,
46,Unlocking Christmas,2020,https://boxd.it/s1aG,
47,Christmas Incorporated,2015,https://boxd.it/crjC,
48,Karen Kingsbury's Maggie's Christmas Miracle,2017,https://boxd.it/hgGU,
49,Christmas at Grand Valley,2018,https://boxd.it/k5FM,
50,Holiday Hearts,2019,https://boxd.it/nHOI,
51,Merry Kissmas,2015,https://boxd.it/cNbU,
52,12 Pups of Christmas,2019,https://boxd.it/orzO,
53,A Nanny for Christmas,2010,https://boxd.it/D8M,
54,A Christmas Wedding Tail,2011,https://boxd.it/2NE8,
55,Christmas with the Andersons,2016,https://boxd.it/feue,
56,A Star for Christmas,2012,https://boxd.it/7780,
57,My Dog's Christmas Miracle,2011,https://boxd.it/2K9Q,
58,A Christmas Proposal,2021,https://boxd.it/xDSG,
59,Santa Jaws,2018,https://boxd.it/jMm2,
60,Violent Night,2022,https://boxd.it/xXBA,
61,Grandma Got Run Over by a Reindeer,2000,https://boxd.it/Bbu,
62,Jack Frost,1998,https://boxd.it/1XUo,
63,Christmas ...Again?!,2021,https://boxd.it/sFbY,
64,Unaccompanied Minors,2006,https://boxd.it/1Hv8,
65,Christmas in Conway,2013,https://boxd.it/75h0,
