Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-07-09,funny based redpilled movie marathon - septiembre,,https://boxd.it/nKhpW,

Position,Name,Year,URL,Description
1,The Poolboy,2011,https://boxd.it/2A6i,
2,El Babysitter,2013,https://boxd.it/6kCA,
3,Attitude Test,2016,https://boxd.it/f8Uq,
4,Mi amigo Alexis,2019,https://boxd.it/lA6A,
5,I'm Not Crazy!,2018,https://boxd.it/hMhM,
6,Barrio Universitario,2013,https://boxd.it/77zg,
7,Papelucho y el marciano,2007,https://boxd.it/19ia,
8,Baby Shower,2011,https://boxd.it/5f0,
9,I Don’t Want to Be Your Brother,2019,https://boxd.it/jgvm,
10,Condorito: The Movie,2017,https://boxd.it/g34w,
11,Promedio rojo,2004,https://boxd.it/19gS,
12,Citizen Kramer,2013,https://boxd.it/7QnO,
13,The King of Idiots,2006,https://boxd.it/1DRE,
14,Mitos y Leyendas: La nueva alianza,2010,https://boxd.it/2PcA,
15,Heroes,2015,https://boxd.it/gxoG,
16,Lokas,2008,https://boxd.it/7eR2,
17,Allende en su laberinto,2014,https://boxd.it/aXCs,
18,The 33,2015,https://boxd.it/9fJM,
19,"You Think You're the Prettiest, But You Are the Sluttiest",2009,https://boxd.it/4edA,
20,Como Bombo en fiesta,2016,https://boxd.it/g2hY,
21,A Cab for Three,2001,https://boxd.it/33bm,
22,Gloria,2013,https://boxd.it/50gM,
23,The Maid,2009,https://boxd.it/1ruo,
24,A Fantastic Woman,2017,https://boxd.it/fcGi,
25,No,2012,https://boxd.it/3Ie2,
26,The Hole Avenger,1992,https://boxd.it/BPuY,
27,F*ck My Weddin‪g‬,2011,https://boxd.it/2VF4,
28,Alma,2015,https://boxd.it/d4fO,
29,Santos,2008,https://boxd.it/1D3a,
30,A Boyfriend for My Wife,2017,https://boxd.it/gj8E,
31,La Esmeralda 1879,2010,https://boxd.it/jgVO,
32,Mensajes privados,2022,https://boxd.it/zNSA,
33,Neruda,2016,https://boxd.it/bOAO,
34,The Mole Agent,2020,https://boxd.it/oiRO,
35,Post Mortem,2010,https://boxd.it/ob2,
36,Spider,2019,https://boxd.it/lHw6,
37,Violeta Went to Heaven,2011,https://boxd.it/2OIq,
38,Fuga,2006,https://boxd.it/19hQ,
39,Forgotten Roads,2020,https://boxd.it/rzEe,
40,Bring Me the Head of the Machine Gun Woman,2012,https://boxd.it/6Q1w,
41,Mother,2016,https://boxd.it/fztw,
42,Nahuel and the Magic Book,2020,https://boxd.it/qqQe,
43,Perro bomba,2019,https://boxd.it/lwzy,
44,Johnny One Hundred Pesos,1993,https://boxd.it/FrQ,
45,Karadima Forest,2015,https://boxd.it/baLM,
46,Angel Negro,2000,https://boxd.it/3qcC,
47,Mujeres arriba,2020,https://boxd.it/mei2,
48,The Sentimental Teaser,1999,https://boxd.it/19ge,
49,Ogu y Mampato en Rapa Nui,2002,https://boxd.it/15PO,
50,Lusers,2015,https://boxd.it/cYlG,
51,Spider Thieves,2017,https://boxd.it/gjEU,
52,Sub terra,2003,https://boxd.it/6ybo,
53,Dog Flesh,2012,https://boxd.it/4nDW,
54,Much Better Than You,2013,https://boxd.it/6G7a,
55,(Im)Patient,2021,https://boxd.it/x0fg,
56,Muerte Ciega,1992,https://boxd.it/3ZYm,
57,Gringuito,1998,https://boxd.it/Uwm,
58,Phase 3,2009,https://boxd.it/YkO,
59,S.O.S. Mamis: La película,2022,https://boxd.it/zNSg,
60,Mala leche,2004,https://boxd.it/56Xs,
61,03:34: Earthquake in Chile,2011,https://boxd.it/bCE,
62,Sal,2012,https://boxd.it/4ukC,
63,XS - la peor talla,2003,https://boxd.it/19gy,
64,Radio Corazón,2007,https://boxd.it/Qaw,
65,Contra el Demonio,2018,https://boxd.it/k5KW,
66,Cosas de hombres,2020,https://boxd.it/iADe,
67,Azul y Blanco,2004,https://boxd.it/Qac,
68,Hecho bolsa,2019,https://boxd.it/mLVw,
69,Chile Can Do It,2008,https://boxd.it/Q9y,
70,¿Cómo andamos por casa?,2018,https://boxd.it/ioUM,
71,Rojo: La película,2006,https://boxd.it/brLY,
72,Una película de Zombies,2022,https://boxd.it/z7RA,
73,Normal con alas,2007,https://boxd.it/8jHS,
74,Mansacue,2008,https://boxd.it/qfU,
75,Pinochet Boys,2016,https://boxd.it/l6VI,
76,Un loco matrimonio en cuarentena,2021,https://boxd.it/wB8E,
77,La Comiquería,2011,https://boxd.it/iQDk,
78,Cirqo,2013,https://boxd.it/iI8e,
79,Bad Influence,2016,https://boxd.it/eUUQ,
80,Ema,2019,https://boxd.it/jHWa,
81,Enough Praying,1972,https://boxd.it/dIDc,
82,The Club,2015,https://boxd.it/amQC,
83,Sapo,2018,https://boxd.it/i7Uq,
84,My Tender Matador,2020,https://boxd.it/obYe,
85,Los perros,2017,https://boxd.it/gaQi,
86,Mi mejor enemigo,2005,https://boxd.it/19hw,
87,Los náufragos,1994,https://boxd.it/3Om2,
88,...And Suddenly the Dawn,2017,https://boxd.it/iAd6,
89,Mirageman,2007,https://boxd.it/17HC,
90,Mandrill,2009,https://boxd.it/2T7O,
91,Desconectados,2022,https://boxd.it/EbV2,
92,Quiet,2020,https://boxd.it/pmcC,
93,La panelista: el circo de la realidad,2021,https://boxd.it/pmgE,
94,Chile '76,2022,https://boxd.it/A9eC,
95,Sayen,2023,https://boxd.it/w71e,
96,Natural Disasters,2014,https://boxd.it/b510,
97,Un like de Navidad,2022,https://boxd.it/DUzS,
98,Sex with Love,2003,https://boxd.it/1DRu,
99,Historias de fútbol,1997,https://boxd.it/Q9I,
100,The Lulú Club,2023,https://boxd.it/zIqw,
