Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-01-09,"Honey, I Shrunk the Watchlist! Challenge 2023","watchlist challenge, histwc2023",https://boxd.it/kpgxc,"Original challenge found <a href=""https://letterboxd.com/nien/list/honey-i-shrunk-the-watchlist-challenge-2023/"">here</a>.

Seemed fun, so I'll give it a try!

<b>Progress: 04/35</b>

Prompts
1. Watch the movie that was added first
2. Watch the movie that was added last
3. Watch the movie that is the longest
4. Watch the movie that is the shortest
5. Watch the movie that is rated highest
6. Watch the movie that is rated lowest
7. Watch a movie from the 1950s
8. Watch a movie from the 1960s
9. Watch a movie from the 1970s
10. Watch a movie from the 1980s
11. Watch a movie from the 1990s
12. Watch a movie from the 2000s
13. Watch a movie from the 2010s
14. Watch a movie from the 2020s
15. Shuffle your watchlist and watch the first movie that appears
16. Watch a movie from a director you haven’t watched anything from
17. Watch a movie that stars one of your favorite actors
18. Watch a movie that stars one of your favorite actresses
19. Watch the movie that is the most popular
20. Watch the movie that is the least popular
21. Watch the movie that was released the earliest
22. Shuffle your watchlist and watch the first movie that appears
23. Watch a movie from your favorite genre
24. Watch a movie from your least favorite genre
25. Watch the movie with the most beautiful poster
26. Watch a movie featuring an animal on its poster
27. Watch the movie you have been anticipating watching most
28. Watch a movie from before you were born
29. Watch a movie recommended to you by someone
30. Watch a documentary
31. Watch a foreign language movie
32. Watch a movie that was (co-)directed by a woman
33. Watch a movie that you missed from last year (2022)
34. Watch a movie that you’re excited to watch from this year (2023)
35. Watch a movie that you’ve been putting off watching"

Position,Name,Year,URL,Description
1,Under the Skin,2013,https://boxd.it/3mDa,
2,Timecop,1994,https://boxd.it/1ZNO,
3,Zack Snyder's Justice League,2021,https://boxd.it/tLOk,
4,Saludos Amigos,1942,https://boxd.it/1N8u,
5,Taylor Swift: Reputation Stadium Tour,2018,https://boxd.it/kQ0w,
6,Foodfight!,2012,https://boxd.it/3Ti0,
7,Rebel Without a Cause,1955,https://boxd.it/2aQu,
8,2001: A Space Odyssey,1968,https://boxd.it/2bf0,
9,A Clockwork Orange,1971,https://boxd.it/2aVE,
10,The Evil Dead,1981,https://boxd.it/29Go,
11,Starship Troopers,1997,https://boxd.it/2a7k,
12,Batman Begins,2005,https://boxd.it/2aIg,
13,The Nice Guys,2016,https://boxd.it/94Hg,
14,Tenet,2020,https://boxd.it/leq4,
15,Candyman,1992,https://boxd.it/1Ys6,
16,Halloween,2007,https://boxd.it/27u6,
17,Birdman or (The Unexpected Virtue of Ignorance),2014,https://boxd.it/5RFA,
18,True Lies,1994,https://boxd.it/19pq,
19,Knives Out,2019,https://boxd.it/jWEA,
20,The Second Coming,2003,https://boxd.it/1EY2,
21,Nosferatu,1922,https://boxd.it/29TM,
22,I'm Thinking of Ending Things,2020,https://boxd.it/i4IQ,
23,Independence Day,1996,https://boxd.it/2a1w,
24,"The Good, the Bad and the Ugly",1966,https://boxd.it/2ape,
25,Suspiria,1977,https://boxd.it/1SNW,
26,Alvin and the Chipmunks,2007,https://boxd.it/21E0,
27,Shaun the Sheep Movie,2015,https://boxd.it/7Pdy,
28,Pulp Fiction,1994,https://boxd.it/29Pq,
29,Oldboy,2003,https://boxd.it/29R2,
30,In the Same Breath,2021,https://boxd.it/tbgc,
31,Akira,1988,https://boxd.it/2b1i,
32,American Psycho,2000,https://boxd.it/28Vs,
33,Nope,2022,https://boxd.it/sDCe,
34,The Super Mario Bros. Movie,2023,https://boxd.it/i8C8,
35,Transformers,2007,https://boxd.it/280c,
