Letterboxd list export v7
Date,Name,Tags,URL,Description
2021-07-27,Yet Another Dreamworks Ranking,"dreamworks, ranked, animation",https://boxd.it/cRaiO,"As the title says, this is just another list ranking every film in which Dreamworks is heavily involved. You have seen this one like a thousand times here, but... just ranked in another way."

Position,Name,Year,URL,Description
1,Megamind,2010,https://boxd.it/16Sk,
2,Shrek 2,2004,https://boxd.it/29z8,
3,Puss in Boots: The Last Wish,2022,https://boxd.it/aaie,
4,Shrek,2001,https://boxd.it/29zi,
5,The Bad Guys,2022,https://boxd.it/nkg4,
6,Captain Underpants: The First Epic Movie,2017,https://boxd.it/8312,
7,Puss in Boots,2011,https://boxd.it/eL34,
8,Mr. Peabody & Sherman,2014,https://boxd.it/2TRM,
9,The Boss Baby,2017,https://boxd.it/9mfO,
10,Flushed Away,2006,https://boxd.it/1Tpm,
11,"Ruby Gillman, Teenage Kraken",2023,https://boxd.it/Dmne,
12,The Boss Baby: Family Business,2021,https://boxd.it/goWY,
13,Bee Movie,2007,https://boxd.it/22Vw,
14,Home,2015,https://boxd.it/6JxA,
15,Turbo,2013,https://boxd.it/2Hzw,
