Letterboxd list export v7
Date,Name,Tags,URL,Description
2020-08-31,Yet Another Pixar Ranking,"pixar, disney, ranking, toy story",https://boxd.it/8BsCu,"<b>- PIXAR Animation Studios Movies Ranked, from ""Toy Story"" to ""Lightyear"" -</b> 
So, because I only wanted to play the ""WALL-E"" PS2 game again, I decided to watch all of the Pixar movies again with another perspective, considering I watched most of them as a kid who wasn't interested in films as a whole.
UPDATES:
- 31/08/2020: ""Cars"" added.
- 02/09/2020: ""Ratatouille"" added.
- 03/09/2020: ""Wall-E"" added.
- 05/09/2020: ""Up"" added.
                          ""Toy Story 3"" added.
- 11/09/2020: ""Cars 2"" added.
- 30/09/2020: ""Brave"" added.
- 12/07/2021: ""Monsters University"" added.
- 15/07/2021: ""Inside Out"" added.
- 13/03/2022: ""Turning Red"" added."

Position,Name,Year,URL,Description
1,Ratatouille,2007,https://boxd.it/27ww,
2,The Incredibles,2004,https://boxd.it/1XLm,
3,WALL·E,2008,https://boxd.it/1VEo,
4,Finding Nemo,2003,https://boxd.it/72i,
5,Toy Story,1995,https://boxd.it/29qA,
6,"Monsters, Inc.",2001,https://boxd.it/2a46,
7,Toy Story 2,1999,https://boxd.it/29qq,
8,Toy Story 3,2010,https://boxd.it/1WRe,
9,Up,2009,https://boxd.it/1OEc,
10,Inside Out,2015,https://boxd.it/4KHC,
11,Turning Red,2022,https://boxd.it/ipkq,
12,Cars,2006,https://boxd.it/29ho,
13,A Bug's Life,1998,https://boxd.it/1Yyy,
14,Monsters University,2013,https://boxd.it/bQm,
15,Brave,2012,https://boxd.it/bVG,
16,Cars 2,2011,https://boxd.it/H4Y,
